```python
from django.db.models import Field
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related import OneToOneField
from django.db.models.fields.related import ForeignKey
from django.db.models.fields.related import ManyToManyRel
from django.db.models.fields.related import ManyToManyField
from django.db.models.fields.related import OneToOneRel
from django.db.models.fields.related
HyperAgent_django__django-11815 - INFO - Navigator->Planner: Based on the provided code snippets and observations, I will guide you through the process of locating the file in Django's codebase that handles the generation of migration files, particularly the part that deals with default values for model fields and how Enum objects are represented.
